,filename,blocks,lines
56,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251230-00010.xml,17,103
57,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251230-00011.xml,11,24
58,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251230-00012.xml,6,32
59,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251230-00013.xml,6,16
60,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251230-00014.xml,7,10
61,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251230-00015.xml,12,27
62,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251230-00016.xml,8,50
63,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251230-00017.xml,10,39
64,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251230-00018.xml,5,21
65,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251230-00019.xml,5,27
66,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251230-00020.xml,45,132
67,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251230-00021.xml,7,128
68,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251230-00022.xml,7,120
69,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251230-00023.xml,15,121
70,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251230-00024.xml,21,151
71,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00001.xml,11,110
72,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00002.xml,5,147
73,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00003.xml,5,148
74,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00004.xml,5,156
75,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00005.xml,12,134
76,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00006.xml,16,140
77,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00007.xml,7,123
78,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00008.xml,12,141
79,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00009.xml,5,147
80,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00010.xml,10,160
81,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00011.xml,18,111
82,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00012.xml,6,40
83,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00013.xml,9,13
84,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00014.xml,9,47
85,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00015.xml,18,42
86,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00016.xml,7,25
87,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00017.xml,12,55
88,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00018.xml,19,74
89,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00019.xml,8,37
90,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00020.xml,5,27
91,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00021.xml,16,33
92,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00022.xml,16,35
93,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00023.xml,8,43
94,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00024.xml,16,105
95,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00025.xml,8,140
96,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00026.xml,6,109
97,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00027.xml,12,160
98,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00028.xml,29,191
99,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00029.xml,6,152
100,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00030.xml,7,151
101,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00031.xml,35,146
102,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251231-00032.xml,8,146
103,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251221-00013.xml,9,33
104,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251221-00014.xml,3,3
105,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251221-00015.xml,14,126
106,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251221-00016.xml,6,243
107,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251221-00017.xml,7,190
