,filename,blocks,lines
0,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241231-00038.xml,14,187
1,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241231-00039.xml,15,103
2,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241231-00040.xml,10,18
3,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241231-00041.xml,4,4
4,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241231-00042.xml,8,22
5,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241231-00043.xml,21,62
6,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241231-00044.xml,18,212
7,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241229-00036.xml,11,29
8,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241229-00037.xml,6,25
9,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241229-00038.xml,17,25
10,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241229-00039.xml,10,29
11,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241229-00040.xml,5,31
12,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241229-00041.xml,4,35
13,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241229-00042.xml,4,31
14,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241229-00043.xml,19,85
15,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241229-00044.xml,14,32
16,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241229-00045.xml,14,126
17,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241229-00046.xml,7,110
18,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241229-00047.xml,6,119
19,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241229-00048.xml,6,93
20,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241229-00049.xml,20,189
21,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241229-00050.xml,14,104
22,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241229-00051.xml,17,213
23,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19241230-00001.xml,19,49
