,filename,blocks,lines
0,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261229-00007.xml,19,143
1,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261229-00008.xml,12,82
2,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261229-00009.xml,16,121
3,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261229-00010.xml,3,3
4,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261229-00011.xml,7,33
5,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261229-00012.xml,6,15
6,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261229-00013.xml,4,26
7,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261229-00014.xml,11,171
8,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261229-00015.xml,8,190
9,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261229-00016.xml,7,242
10,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261229-00017.xml,10,215
11,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261229-00018.xml,124,203
12,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261229-00019.xml,8,43
13,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261229-00020.xml,8,23
14,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00001.xml,9,25
15,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00002.xml,8,18
16,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00003.xml,8,116
17,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00004.xml,5,144
18,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00005.xml,6,145
19,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00006.xml,5,159
20,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00007.xml,6,152
21,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00008.xml,6,150
22,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00009.xml,10,136
23,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00010.xml,5,143
24,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00011.xml,15,145
25,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00012.xml,9,130
26,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00013.xml,9,135
27,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00014.xml,6,158
28,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00015.xml,21,129
29,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00016.xml,2,2
30,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00017.xml,4,22
31,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00018.xml,14,58
32,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00019.xml,15,42
33,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00020.xml,8,35
34,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00021.xml,11,28
35,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00022.xml,14,219
36,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00023.xml,7,243
37,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00024.xml,28,267
38,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00025.xml,8,154
39,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19261230-00026.xml,10,155
